Assessment,Assessment Language,State,District,School,Local ID,State ID,FAST ID,First Name,Last Name,Gender,DOB,Race,Special Ed. Status,Grade,Unnamed: 15,Fall aReading Test Theta,Fall aReading Percentile at School,Fall aReading Percentile at LEA,Fall aReading Percentile at Nation,Fall aReading Risk Level,Fall aReading Final Date,Winter aReading Test Theta,Winter aReading Percentile at School,Winter aReading Percentile at LEA,Winter aReading Percentile at Nation,Winter aReading Risk Level,Winter aReading Final Date,Growth Score from Fall to Winter,School Growth Percentile from Fall to Winter,District Growth Percentile from Fall to Winter,National Growth Percentile from Fall to Winter,Growth Percentile by Start Score from Fall to Winter,Spring aReading Test Theta,Spring aReading Percentile at School,Spring aReading Percentile at LEA,Spring aReading Percentile at Nation,Spring aReading Risk Level,Spring aReading Final Date,Growth Score from Fall to Spring,School Growth Percentile from Fall to Spring,District Growth Percentile from Fall to Spring,National Growth Percentile from Fall to Spring,Growth Percentile by Start Score from Fall to Spring,Growth Score from Winter to Spring,School Growth Percentile from Winter to Spring,District Growth Percentile from Winter to Spring,National Growth Percentile from Winter to Spring,Growth Percentile by Start Score from Winter to Spring,Screening Period 4 aReading Test Theta,Screening Period 4 aReading Percentile at School,Screening Period 4 aReading Percentile at LEA,Screening Period 4 aReading Percentile at Nation,Screening Period 4 aReading Risk Level,Screening Period 4 aReading Final Date,Growth Score from Fall to Screening Period 4,School Growth Percentile from Fall to Screening Period 4,District Growth Percentile from Fall to Screening Period 4,National Growth Percentile from Fall to Screening Period 4,Growth Percentile by Start Score from Fall to Screening Period 4,Growth Score from Winter to Screening Period 4,School Growth Percentile from Winter to Screening Period 4,District Growth Percentile from Winter to Screening Period 4,National Growth Percentile from Winter to Screening Period 4,Growth Percentile by Start Score from Winter to Screening Period 4,Growth Score from Spring to Screening Period 4,School Growth Percentile from Spring to Screening Period 4,District Growth Percentile from Spring to Screening Period 4,National Growth Percentile from Spring to Screening Period 4,Growth Percentile by Start Score from Spring to Screening Period 4,Screening Period 5 aReading Test Theta,Screening Period 5 aReading Percentile at School,Screening Period 5 aReading Percentile at LEA,Screening Period 5 aReading Percentile at Nation,Screening Period 5 aReading Risk Level,Screening Period 5 aReading Final Date,Growth Score from Fall to Screening Period 5,School Growth Percentile from Fall to Screening Period 5,District Growth Percentile from Fall to Screening Period 5,National Growth Percentile from Fall to Screening Period 5,Growth Percentile by Start Score from Fall to Screening Period 5,Growth Score from Winter to Screening Period 5,School Growth Percentile from Winter to Screening Period 5,District Growth Percentile from Winter to Screening Period 5,National Growth Percentile from Winter to Screening Period 5,Growth Percentile by Start Score from Winter to Screening Period 5,Growth Score from Spring to Screening Period 5,School Growth Percentile from Spring to Screening Period 5,District Growth Percentile from Spring to Screening Period 5,National Growth Percentile from Spring to Screening Period 5,Growth Percentile by Start Score from Spring to Screening Period 5,Growth Score from Screening Period 4 to Screening Period 5,School Growth Percentile from Screening Period 4 to Screening Period 5,District Growth Percentile from Screening Period 4 to Screening Period 5,National Growth Percentile from Screening Period 4 to Screening Period 5,Growth Percentile by Start Score from Screening Period 4 to Screening Period 5,Fall Lexile,Winter Lexile,Spring Lexile,Screening Period 4 Lexile,Screening Period 5 Lexile
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,40318,99258,350087,LISA,KNAPP,Male,2018-07-05,Black or African American,,Five,,491.3074,23.333334,22.869955,11.0,highRisk,8/26/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,31136,90819,403951,SARAH,WILLIAMSON,Female,2016-11-25,Black or African American,,Two,,444.344,23.333334,37.885464,14.0,highRisk,9/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR245L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,79022,54660,813743,DEBORAH,BEST,Female,2017-11-02,Black or African American,,Five,,519.48755,60,69.955154,53.0,lowRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,20322,79144,872516,STEVEN,SHELTON,Female,2017-09-05,White,,Two,,454.20502,36.666668,46.696033,22.0,someRisk,9/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR155L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,96761,50788,846814,SHANNON,WEBB,Male,2017-08-22,Black or African American,,Five,,470.82382,6.6666665,9.865471,3.0,highRisk,9/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100L,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,62429,43760,513203,AMBER,ADAMS,Male,2017-05-24,White,,Five,,518.6877,77.94118,68.60986,52.0,lowRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,86373,78244,367951,ASHLEY,LESTER,Female,2019-09-02,Black or African American,,Three,,502.0255,64.40678,75.90909,63.0,lowRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,67635,66972,366906,DAWN,COOK,Female,2017-03-26,Asian,,Four,,506.56894,50,62.944164,49.0,lowRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,36006,47510,396837,TAMMY,DAVIS,Male,2018-09-25,Black or African American,,Three,,507.94046,74.57627,81.36364,75.0,LI,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,36310,72914,268636,JASON,WILKINSON,Male,2019-08-01,Black or African American,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,91097,68408,550560,AMBER,HERNANDEZ,Male,2016-01-23,White,,Three,,357.99768,1.6949153,1.3636364,1.0,highRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR1000L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,75828,23160,239513,DAVID,MORTON,Male,2018-02-11,Black or African American,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,43818,62110,755311,SANDRA,HENDERSON,Male,2016-05-20,Black or African American,,Two,,426.21967,8.333333,18.061674,5.0,highRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR400L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,66388,78707,948969,ELIZABETH,RAMSEY,Male,2016-12-28,White,,Three,,515.3621,89.830505,91.818184,85.0,LI,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,85144,23683,229348,MICHAEL,BARNES,Male,2019-01-04,White,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,PERSHING ELEMENTARY,98343,74518,702274,MELINDA,SMITH,Female,2017-07-08,Black or African American,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,11176,49749,599434,THOMAS,HAMILTON,Male,2017-09-16,Black or African American,,Three,,503.84058,67.79661,77.72727,67.0,lowRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,38132,99533,314460,WILLIAM,RUIZ,Male,2016-09-01,White,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,39504,66290,363686,VICTORIA,GROSS,Female,2016-05-25,Black or African American,,Three,,475.85696,40.677967,42.272728,22.0,someRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,11889,77768,706183,GRACE,FISHER,Male,2018-03-19,Black or African American,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,76792,83840,841569,KIMBERLY,CARR,Female,2018-01-02,Hispanic/Latino,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,20344,96135,993546,DAN,PATTERSON,Male,2018-05-01,White,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,91145,27990,233177,JOSE,LOPEZ,Male,2018-11-30,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,80531,63989,120864,MANUEL,HARDIN,Female,2018-08-29,Black or African American,,Three,,459.66483,27.118645,24.545454,9.0,highRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR70L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,77844,31594,808162,MEGAN,SAUNDERS,Male,2017-10-19,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,18019,57917,368769,KAREN,KLEIN,Female,2018-01-14,Black or African American,,Five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,57758,57361,348355,JOHN,LOGAN,Female,2017-03-31,Black or African American,,Three,,498.72824,57.627117,72.27273,56.0,lowRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,14555,26694,448942,ASHLEY,CAMPBELL,Female,2016-01-30,Black or African American,,Eleven,,542.07526,52.439026,52.439026,33.0,someRisk,8/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,36692,94846,590316,MARIE,PAUL,Female,2016-10-17,Hispanic/Latino,,Ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,BRITTANY WOODS MIDDLE SCHOOL,94968,12656,474352,AARON,DUNN,Female,2018-04-15,Black or African American,,Eight,,531.9746,60.818714,60.818714,36.0,someRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,11240,54671,206428,JENNIFER,STEIN,Male,2016-05-06,Black or African American,,Ten,,520.87646,N/A*,N/A*,13.0,highRisk,9/11/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,57619,71695,844277,RICKY,FOX,Female,2017-09-18,Multi-Racial,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,87634,91720,631714,COLIN,GOODMAN,Male,2018-04-05,Black or African American,,Four,,519.1224,74,80.71066,73.0,LI,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,91190,36074,659531,MICHAEL,CASTILLO,Female,2019-07-05,White,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,18632,73252,586225,NATHANIEL,DAVIS,Male,2017-04-14,Black or African American,,Two,,474.94464,53.333332,66.51982,49.0,lowRisk,8/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,29413,82777,918448,DAVID,ALLEN,Male,2019-12-17,Multi-Racial,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,99786,50348,897749,EMILY,SOTO,Female,2019-07-26,Black or African American,,Two,,378.55386,0,5.2863436,1.0,highRisk,8/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR815L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,91196,22046,857241,SARAH,SILVA,Male,2016-03-02,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,62570,44262,328482,HAILEY,RAMIREZ,Female,2017-03-06,Black or African American,,Two,,495.154,85,85.90308,79.0,LI,9/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,34351,87566,318691,DAVID,HOLLAND,Male,2017-04-05,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,95594,47536,582776,TIFFANY,OLSON,Male,2016-05-25,Black or African American,,Two,,481.13696,66.666664,74.44934,60.0,lowRisk,9/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,82658,97275,367349,VICTOR,STARK,Male,2017-06-19,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,56464,64315,790617,KENNETH,BROWN,Female,2019-11-25,White,,Two,,486.49033,78.333336,79.73568,67.0,lowRisk,8/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335L,,,,
aReading,Assessment Language,MO,University City School District,PERSHING ELEMENTARY,38006,82123,979722,LISA,CHAN,Female,2018-07-30,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,99016,95252,451697,ASHLEY,SKINNER,Female,2018-06-24,Black or African American,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,BRITTANY WOODS MIDDLE SCHOOL,32686,55437,284392,CRYSTAL,CAMPBELL,Female,2019-01-28,Black or African American,,Six,,547.5162,91.42857,91.42857,92.0,LI,8/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,81952,41854,975169,DAWN,PERRY,Male,2019-08-17,Multi-Racial,,Two,,498.67697,88.333336,88.10573,83.0,LI,9/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,14072,49234,822512,JAMIE,ROBERTS,Male,2018-09-15,Black or African American,,Five,,501.32736,30.232557,32.735428,22.0,someRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570L,,,,
aReading,Assessment Language,MO,University City School District,BRITTANY WOODS MIDDLE SCHOOL,79573,98380,118657,STEPHANIE,SNYDER,Female,2017-04-14,Black or African American,,Six,,457.4076,5.142857,5.142857,1.0,highRisk,8/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR115L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,62674,20984,411066,REGINA,MOORE,Male,2018-11-05,Black or African American,,Four,,503.89267,46,59.39086,43.0,lowRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,90375,28788,270309,ROBERT,ROBERTSON,Male,2019-01-31,Black or African American,,Three,,426.58197,8.163265,11.363636,2.0,highRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR395L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,60258,75766,822682,JAMES,HARDIN,Male,2018-09-14,Black or African American,,Two,,478.40057,71.42857,70.48458,55.0,lowRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,77470,68001,607612,MELISSA,PINEDA,Female,2017-05-19,White,,Two,,516.1768,98.333336,98.237885,97.0,LI,8/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,55495,87660,473949,PHYLLIS,FISCHER,Male,2019-01-14,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,36109,47927,622095,CYNTHIA,DODSON,Male,2016-01-26,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,50222,43530,970916,CHEYENNE,SMITH,Male,2017-02-07,Black or African American,,Two,,424.50836,6.6666665,16.740088,5.0,highRisk,9/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR410L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,41776,75567,928526,ADAM,MARTIN,Male,2017-03-31,White,,Two,,479.55713,63.333332,72.687225,57.0,lowRisk,9/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,16428,76080,722565,DAVID,ESCOBAR,Male,2018-05-19,Multi-Racial,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,54182,92869,154136,JOSEPH,GALLAGHER,Male,2018-07-22,Black or African American,,Two,,448.5493,33.333332,41.85022,17.0,someRisk,9/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR200L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,47642,48872,404966,JACOB,RICHARDSON,Female,2017-05-22,Multi-Racial,,Two,,514.9903,93.333336,96.47577,97.0,LI,9/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,33304,16938,914310,DEBRA,MARTIN,Female,2018-08-18,White,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,17106,97988,593346,KAREN,MCBRIDE,Male,2016-10-21,Black or African American,,Two,,440.5742,16.666666,33.480175,11.0,highRisk,9/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR270L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,98289,60721,667171,ERIC,BUTLER,Female,2016-09-09,Black or African American,,Two,,476.73993,55,68.28194,52.0,lowRisk,9/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,24684,93552,233123,CHRISTINE,CHANG,Female,2018-12-02,Black or African American,,Four,,500.18948,46.153847,52.791878,34.0,someRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,76740,41670,294553,JEREMY,MOORE,Female,2018-03-01,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,88059,46303,914704,BOBBY,WILLIAMS,Male,2016-11-04,Black or African American,,Two,,433.60522,13.333333,26.872246,8.0,highRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR330L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,86535,93290,542619,TREVOR,WRIGHT,Male,2017-12-29,Black or African American,,Four,,469.75143,15.384615,21.319798,6.0,highRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,64458,92330,539413,JENNY,BOYD,Female,2017-11-25,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,10786,27108,964958,ANNETTE,BARTON,Female,2019-07-28,Black or African American,,Two,,441.26562,20,34.361233,12.0,highRisk,8/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR270L,,,,
